Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Hydro,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Other Fossil,%,7.31
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Solar,%,0.04
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2020,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2020,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2020,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2020,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2020,Electricity generation,Fuel,Hydro,%,2.36
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2020,Electricity generation,Fuel,Nuclear,%,0
